Subject,Acq,Dimension,TestVideo,TrainSize,TestSize,PosRate_Train,PosRate_Test,Accuracy,BalancedAccuracy,AUC
27,a,arousal,1.0,8358,1063,0.7463508016271836,0.9322671683913453,0.9322671683913453,0.5,0.43988956161004594
27,a,arousal,4.0,8805,616,0.8210107893242475,0.0,0.0,0.0,
27,a,arousal,5.0,8587,834,0.7560265517642949,0.8836930455635491,0.7829736211031175,0.6981563597196772,0.6826924421939039
27,a,arousal,7.0,7754,1667,0.7233685839566675,0.9718056388722256,0.9718056388722256,0.5,0.4458760178618335
27,a,arousal,8.0,8629,792,0.7459728821416155,1.0,1.0,1.0,
27,a,arousal,9.0,7827,1594,0.7361696690941613,0.9203262233375157,0.9203262233375157,0.5,0.4972330912623652
27,a,arousal,10.0,7629,1792,0.7725783195700616,0.7449776785714286,0.7449776785714286,0.5,0.4417426794187791
27,a,arousal,11.0,8358,1063,0.8305814788226848,0.2699905926622766,0.2699905926622766,0.5,0.171602787456446
27,a,luminance,lum_003_3,1845,615,0.4813008130081301,0.9788617886178862,0.15447154471544716,0.41758241758241754,0.27970866342959366
27,a,luminance,lum_002_3,1845,615,0.6607046070460705,0.44065040650406506,0.43414634146341463,0.492619926199262,0.4941967733630825
27,a,luminance,lum_006_4,1845,615,0.4872628726287263,0.9609756097560975,0.8455284552845529,0.43993231810490696,0.40954596728708403
27,a,luminance,lum_004_4,1845,615,0.7934959349593496,0.04227642276422764,0.04878048780487805,0.5033955857385399,0.7446780723520962
27,a,valence,2.0,6712,2376,0.5806019070321812,0.8699494949494949,0.19276094276094277,0.46723124832668705,0.4622445800317206
27,a,valence,3.0,8119,969,0.6200270969331199,0.9597523219814241,0.04024767801857585,0.5,0.5066170388751035
27,a,valence,6.0,7410,1678,0.5784075573549258,1.0,0.930870083432658,0.930870083432658,
27,a,valence,12.0,8462,626,0.7047979201134483,0.0,0.0,0.0,
27,a,valence,13.0,6848,2240,0.7653329439252337,0.32276785714285716,0.32276785714285716,0.5,0.4427580095022662
27,a,valence,14.0,7889,1199,0.6842438838889593,0.47206005004170143,0.47206005004170143,0.5,0.47110623593968937
