Subject,Acq,Dimension,TestVideo,TrainSize,TestSize,UpRate_Train,UpRate_Test,Accuracy,BalancedAccuracy,AUC
27,a,arousal,1.0,8351,1062,0.2317087773919291,0.5555555555555556,0.4444444444444444,0.5,0.5401896006894571
27,a,arousal,4.0,8798,615,0.2775630825187543,0.13495934959349593,0.865040650406504,0.5,0.43334994111785496
27,a,arousal,5.0,8580,833,0.27983682983682984,0.148859543817527,0.851140456182473,0.5,0.47483961963692617
27,a,arousal,7.0,7747,1666,0.25171033948625277,0.34513805522208885,0.6548619447779112,0.5,0.4929024030606145
27,a,arousal,8.0,8622,791,0.26873115286476457,0.2629582806573957,0.7370417193426043,0.5,0.37451345823987336
27,a,arousal,9.0,7820,1593,0.28017902813299234,0.20966729441305712,0.7903327055869429,0.5,0.5812116830675425
27,a,arousal,10.0,7622,1791,0.28299658882183154,0.2054718034617532,0.791178112786153,0.49789177793394235,0.5007371138745456
27,a,arousal,11.0,8351,1062,0.2732606873428332,0.2288135593220339,0.7702448210922788,0.4993894993894994,0.40422677459714496
27,a,valence,2.0,6707,2375,0.26643804979871777,0.36505263157894735,0.6353684210526316,0.5008218375507482,0.5402765412609107
27,a,valence,3.0,8114,968,0.29615479418289375,0.259297520661157,0.7407024793388429,0.5,0.5240238488167275
27,a,valence,6.0,7405,1677,0.31559756920999327,0.18902802623732856,0.7996422182468694,0.49301470588235297,0.49766190387827053
27,a,valence,12.0,8457,625,0.2989239683102755,0.2016,0.7936,0.4999602379361898,0.5781563126252505
27,a,valence,13.0,6843,2239,0.29679964927663305,0.2782492184010719,0.7288968289414918,0.5192522011029354,0.5900515312365907
27,a,valence,14.0,7884,1198,0.2770167427701674,0.39232053422370616,0.6076794657762938,0.5003770166004209,0.537514613046528
27,a,luminance,lum_006_4,1842,614,0.31378935939196523,0.16775244299674266,0.8273615635179153,0.5590789048695685,0.564493758668516
27,a,luminance,lum_002_3,1842,614,0.23452768729641693,0.40553745928338764,0.5374592833876222,0.46354183858722564,0.45758926115420595
27,a,luminance,lum_003_3,1842,614,0.2785016286644951,0.2736156351791531,0.7247557003257329,0.49887892376681614,0.5895392910527439
27,a,luminance,lum_004_4,1842,614,0.28230184581976114,0.26221498371335505,0.6938110749185668,0.5362593064867756,0.5732247405152675
